Shards,Payload(Bytes),CrossRate,Transacoes,TPS,Latencia(ms)
1,1024,0.0,1000,1761.89,313.01
1,4096,0.0,1000,1398.95,416.18
1,8192,0.0,1000,1568.37,362.05
2,1024,0.0,1000,2147.35,248.19
2,1024,0.25,1000,1940.56,208.73
2,1024,0.50,1000,1235.92,245.91
2,1024,0.75,1000,1107.13,266.86
2,1024,1.0,1000,2701.20,201.61
2,4096,0.0,1000,2221.85,247.57
2,4096,0.25,1000,1746.02,213.22
2,4096,0.50,1000,1918.23,187.03
2,4096,0.75,1000,1212.57,166.02
2,4096,1.0,1000,2938.21,277.15
2,8192,0.0,1000,1878.63,285.93
2,8192,0.25,1000,2124.90,218.28
2,8192,0.50,1000,1330.79,226.92
2,8192,0.75,1000,1792.55,194.52
2,8192,1.0,1000,3114.70,235.14
3,1024,0.0,1000,2324.73,243.69
3,1024,0.25,1000,2301.29,214.70
3,1024,0.50,1000,1818.32,159.04
3,1024,0.75,1000,1904.49,163.14
3,1024,1.0,1000,4323.57,162.09
3,4096,0.0,1000,2711.55,209.97
3,4096,0.25,1000,2498.79,185.03
3,4096,0.50,1000,2258.29,161.13
3,4096,0.75,1000,2305.65,150.84
3,4096,1.0,1000,2626.49,195.82
3,8192,0.0,1000,2215.68,261.85
3,8192,0.25,1000,2129.76,212.64
3,8192,0.50,1000,1908.69,175.12
3,8192,0.75,1000,1620.58,210.34
3,8192,1.0,1000,3608.06,188.07
4,1024,0.0,1000,3195.58,173.47
4,1024,0.25,1000,2506.85,159.36
4,1024,0.50,1000,2084.04,168.81
4,1024,0.75,1000,1714.51,159.84
4,1024,1.0,1000,4313.26,143.59
4,4096,0.0,1000,3347.92,170.45
4,4096,0.25,1000,2707.63,197.65
4,4096,0.50,1000,1991.22,188.69
4,4096,0.75,1000,2014.84,197.42
4,4096,1.0,1000,3178.81,192.36
4,8192,0.0,1000,3118.46,187.75
4,8192,0.25,1000,2620.25,175.39
4,8192,0.50,1000,2258.03,178.77
4,8192,0.75,1000,1437.74,260.84
4,8192,1.0,1000,3060.31,196.01
1,40,0,1000,1869.77,299.29
1,200,0,1000,1994.28,280.58
1,1024,0,1000,1811.34,283.61
1,4096,0,1000,1652.36,354.05
1,8192,0,1000,1834.33,309.51
1,40,0,1000,1972.58,286.64
1,200,0,1000,2008.04,278.75
1,1024,0,1000,1746.91,284.88
1,4096,0,1000,1687.02,345.13
1,8192,0,1000,1616.59,349.20
